GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Bank Of New York Mellon Corp,3.2
Microsoft Corp,1,Microsoft Corp,Facebook Inc,9.3
Microsoft Corp,2,Oracle Corp,Jp Morgan Chase And Co,16.8
Microsoft Corp,2,Verizon Communications Inc,Ubs Group Ag,0.6
Microsoft Corp,2,Verizon Communications Inc,Nasdaq Inc,0.5
Coca-Cola Company,2,Pepsico Inc,Atandt Inc,0.8
Coca-Cola Company,2,Nrg Energy,Credit Suisse Group,0.5
Alphabet Inc,2,Amazon Com Inc,Hp Inc,4.6
Morgan Stanley International Holdings Inc,2,Federal Home Loan Mortgage Corp,Bank Of America Corp,0.9
Morgan Stanley International Holdings Inc,2,Federal Home Loan Mortgage Corp,Wells Fargo And Company,1
Microsoft Corp,2,International Business Machines Corp,Dowdupont Inc,0.9
Coca-Cola Company,2,Intercontinental Exchange,Ellie Mae Inc,5.6
Coca-Cola Company,2,Intercontinental Exchange,Royal Bank Of Canada,3.8
Coca-Cola Company,2,Intercontinental Exchange,Corecivic Inc,1.1
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Pimco Dynamic Credit Income Fun,3
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Metlife Inc,16.3
Pepsico Inc,3,Assured Guaranty Ltd,Goldman Sachs Group Inc,5.6
Pepsico Inc,3,Deutsche Bank,Vanguard Group,7.1
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Vanguard Group,17.1
Alphabet Inc,3,Federal Home Loan Mortgage Corp,Bank Of America Corp,0.8
Goldman Sachs Group Inc,3,Bank Of America Corp,Maiden Holdings Ltd,3.4
Goldman Sachs Group Inc,3,Bank Of America Corp,Uber Technologies Inc,17.7
Goldman Sachs Group Inc,3,Bank Of America Corp,Fitbit Inc,3.6
Pepsico Inc,3,Jp Morgan Chase And Co,Royal Dutch Shell,9.9
Pepsico Inc,3,Jp Morgan Chase And Co,Citigroup Inc,33.5
Pepsico Inc,3,Jp Morgan Chase And Co,Berkshire Hathaway Inc,71.6
Microsoft Corp,3,Bank Of America Corp,Bank Of New York Mellon Corp,9.2
Microsoft Corp,3,Bank Of America Corp,Msa Safety Inc,1.2
Microsoft Corp,3,Bank Of America Corp,Countrywide Plc,2.7
Microsoft Corp,3,Deutsche Bank,Netflix Inc,2.6
Pepsico Inc,3,Deutsche Bank,Jp Morgan Chase And Co,34.4
Pepsico Inc,1,Pepsico Inc,Morgan Stanley International Holdings Inc,1.7
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Citigroup Inc,100
Coca-Cola Company,2,Pepsico Inc,Starbucks Corp,1.1
Microsoft Corp,2,Atandt Inc,Royal Bank Of Canada,10
Alphabet Inc,2,Oracle Corp,Hsbc Holdings Plc,0.5
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Neogenomics Inc,4.2
Pepsico Inc,2,Jp Morgan Chase And Co,Total System Services Inc,0.8
Coca-Cola Company,2,Jefferies Financial Group Inc,Wells Fargo And Company,2.1
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Sandp Global Inc,6.6
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Cognizant Technology Solutions Corp,3.9
Microsoft Corp,3,Wells Fargo And Company,International Flavors And Fragrances Inc,1.3
Goldman Sachs Group Inc,3,Bank Of America Corp,Uber Technologies Inc,9.6
Morgan Stanley International Holdings Inc,3,Discover Financial Services,Citigroup Inc,0.8
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Hersha Hospitality Trust,0.5
Coca-Cola Company,3,Bank Of America Corp,Paypal Holdings,7.6
Alphabet Inc,3,Apple Inc,Atandt Inc,9
Coca-Cola Company,3,Goldman Sachs Group Inc,Federal Home Loan Mortgage Corp,7.6
Microsoft Corp,3,Hewlett Packard Enterprise Comp,Hp Inc,1
Jp Morgan Chase And Co,3,Intercontinental Exchange,The Walt Disney Co,0.5
Goldman Sachs Group Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,2.3
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Aon Plc,4.1
Pepsico Inc,3,Mastercard Inc,Apple Inc,24.4
Microsoft Corp,3,Bank Of America Corp,Nomura Holdings Inc,1.3
Microsoft Corp,3,Bank Of America Corp,Federal National Mortgage Association,2.6
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Deutsche Bank,1.2
Microsoft Corp,3,Bank Of America Corp,Gol Linhas Aereas Inteligentes Sa,1.6
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Prudential Financial Inc,1.6
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,First Republic Bank,0.7
Jp Morgan Chase And Co,3,Deutsche Bank,Facebook Inc,0.7
Microsoft Corp,3,Atandt Inc,Digital Realty Trust,4.1
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Mastercard Inc,2.4
Coca-Cola Company,1,Coca-Cola Company,Apple Inc,3.1
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Mitsubishi Ufj Financial Group Inc,2.4
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Visa Inc,3.6
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Pimco Dynamic Credit Income Fun,0.8
Coca-Cola Company,2,Keurig Dr Pepper Inc,Bank Of America Corp,38.3
Morgan Stanley International Holdings Inc,2,Jp Morgan Chase And Co,Bank Of America Corp,1.1
Alphabet Inc,2,Ebay Inc,Agco Corp,1.1
Coca-Cola Company,2,Jefferies Financial Group Inc,Berkshire Hathaway Inc,0.6
Pepsico Inc,2,Jp Morgan Chase And Co,Coastal Financial Corp,1.5
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Goldman Sachs Group Inc,23.7
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Wells Fargo And Company,16.7
Alphabet Inc,2,Oracle Corp,Jp Morgan Chase And Co,6.3
Pepsico Inc,2,Wells Fargo And Company,Aon Plc,0.6
Coca-Cola Company,2,Intercontinental Exchange,Brixmor Property Group Inc,6.6
Morgan Stanley International Holdings Inc,3,Federal Home Loan Mortgage Corp,Allstate Corp,0.6
Microsoft Corp,3,Sandp Global Inc,Goldman Sachs Group Inc,18.4
Pepsico Inc,3,Berkshire Hathaway Inc,Twitter Inc,4
Coca-Cola Company,3,Bank Of America Corp,Astrazeneca Plc,12.6
Coca-Cola Company,3,Bank Of America Corp,Merck And Co Inc,11.6
Alphabet Inc,3,Apple Inc,Sony Corp,2.5
Goldman Sachs Group Inc,3,Wells Fargo And Company,Amex Global Holdings Cv,1.3
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Aleris International Inc,1.5
Alphabet Inc,3,Jp Morgan Chase And Co,Merck And Co Inc,0.9
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Ltc Properties Inc,0.5
Jp Morgan Chase And Co,3,Bank Of America Corp,Intercontinental Exchange,1
Alphabet Inc,3,Jp Morgan Chase And Co,Thomson Reuters Corp,2.3
Pepsico Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,10
Pepsico Inc,3,Bank Of America Corp,First Republic Bank,5
Pepsico Inc,3,Bank Of America Corp,Cincinnati Bell Inc,3.8
Pepsico Inc,3,Bank Of America Corp,Oasis Petroleum Inc,5.6
Pepsico Inc,3,Bank Of America Corp,Hsbc Holdings Plc,4
Alphabet Inc,3,Facebook Inc,Fitbit Inc,1
Microsoft Corp,3,Bank Of America Corp,China Mobile [Hong Kong] Ltd,1.3
Microsoft Corp,3,Bank Of America Corp,Adt Inc,1
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,International Flavors And Fragrances Inc,2.5
Coca-Cola Company,3,Federal National Mortgage Association,Citigroup Inc,3
Microsoft Corp,3,American Airlines Group Inc,Apple Inc,2.9
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Mbia Inc,1
Pepsico Inc,3,Jp Morgan Chase And Co,Maiden Holdings Ltd,100
Goldman Sachs Group Inc,3,Bank Of America Corp,Uber Technologies Inc,10.9
Coca-Cola Company,3,Bank Of America Corp,Walmart Inc,3.5
Coca-Cola Company,3,Bank Of America Corp,Linkedin Corp,1.6
Coca-Cola Company,3,Bank Of America Corp,International Flavors And Fragrances Inc,1.6
Microsoft Corp,3,Deutsche Bank,Bank Of America Corp,7.4
Goldman Sachs Group Inc,3,Bank Of America Corp,Uber Technologies Inc,4
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Intercontinental Exchange,13.1
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Federal Home Loan Mortgage Corp,2.3
Microsoft Corp,1,Microsoft Corp,Atandt Inc,100
Pepsico Inc,1,Pepsico Inc,Bank Of New York Mellon Corp,1.1
Pepsico Inc,2,Hsbc Holdings Plc,Mastercard Inc,0.7
Coca-Cola Company,2,Philip Morris International Inc,Swedish Match Ab Ord,0.7
Coca-Cola Company,2,Nrg Energy,Centrica Plc Ord New,0.7
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Wells Fargo And Company,15.6
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Amtrust Financial Services Inc,0.6
Pepsico Inc,2,Sandp Global Inc,Ihs Markit Ltd,1.2
Alphabet Inc,2,Oracle Corp,Citigroup Inc,1.1
Morgan Stanley International Holdings Inc,2,Allstate Corp,Wells Fargo And Company,1.1
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Wells Fargo And Company,6.2
Pepsico Inc,2,Wells Fargo And Company,Gse Systems Inc,0.5
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Alphabet Inc,0.9
Coca-Cola Company,2,Intercontinental Exchange,Black Knight Inc,18.9
Coca-Cola Company,2,Intercontinental Exchange,Costco Wholesale Corp /New,1
Coca-Cola Company,2,Intercontinental Exchange,Hsbc Holdings Plc,3.8
Microsoft Corp,2,Us Bancorp,Waddell And Reed Financial Inc,0.8
Alphabet Inc,3,Jp Morgan Chase And Co,Thomson Reuters Corp,1.1
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Waddell And Reed Financial Inc,3.2
Coca-Cola Company,3,Bank Of America Corp,Expedia Group Inc,3.4
Coca-Cola Company,3,Bank Of America Corp,Pgande Corp,21.4
Alphabet Inc,3,Apple Inc,Nestle Sa Cham Et Ve,1.1
Jp Morgan Chase And Co,3,Bank Of America Corp,Intercontinental Exchange,0.6
Alphabet Inc,3,Ebay Inc,Tesla Inc,0.7
Alphabet Inc,3,Nokia Corp,Facebook Inc,1.1
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,International Flavors And Fragrances Inc,2.7
Microsoft Corp,3,Bank Of America Corp,Nestle Sa Cham Et Ve,20.6
Pepsico Inc,3,Jp Morgan Chase And Co,Eaton Corp Plc,10.5
Pepsico Inc,3,Jp Morgan Chase And Co,City Office Reit Inc,10.8
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Vodafone Group Plc,1.3
Goldman Sachs Group Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,2.8
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Deutsche Bank,1.7
Pepsico Inc,3,Conagra Brands Inc,Nestle Sa Cham Et Ve,2.6
Goldman Sachs Group Inc,3,Wells Fargo And Company,Metlife Inc,24.3
Goldman Sachs Group Inc,3,Wells Fargo And Company,International Flavors And Fragrances Inc,5.6
Goldman Sachs Group Inc,3,Wells Fargo And Company,Vmware Inc,2.6
Coca-Cola Company,1,Coca-Cola Company,Philip Morris International Inc,24.4
Coca-Cola Company,1,Coca-Cola Company,Campbell Soup Company,1.5
Microsoft Corp,2,Amazon Com Inc,Nasdaq Inc,0.5
Morgan Stanley International Holdings Inc,2,Barclays Plc,Jp Morgan Chase And Co,0.8
Goldman Sachs Group Inc,2,Maiden Holdings Ltd,Intercontinental Exchange,0.5
Goldman Sachs Group Inc,2,Morgan Stanley International Holdings Inc,Sandp Global Inc,0.7
Coca-Cola Company,2,Jefferies Financial Group Inc,Thomson Reuters Corp,0.5
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Credit Suisse Group,1
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Suntrust Banks Inc,0.6
Alphabet Inc,2,Apple Inc,Deutsche Bank,1.1
Alphabet Inc,2,Oracle Corp,Sap Se,0.7
Alphabet Inc,2,Netflix Inc,Amazon Com Inc,0.9
Pepsico Inc,2,Wells Fargo And Company,Intercontinental Exchange,100
Coca-Cola Company,2,Intercontinental Exchange,Duke Energy Corp,1
Microsoft Corp,2,Us Bancorp,Dxc Technology Company,0.7
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Dollar General Corp,1.4
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Metlife Inc,20.6
Alphabet Inc,3,Atandt Inc,Southwest Airlines Company,0.9
Alphabet Inc,3,Jp Morgan Chase And Co,Qualcomm Inc/De,1.1
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Dowdupont Inc,18.2
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Citigroup Inc,4.8
Goldman Sachs Group Inc,3,Bank Of America Corp,Bank Of New York Mellon Corp,3.4
Alphabet Inc,3,Jp Morgan Chase And Co,Starbucks Corp,1.2
Coca-Cola Company,3,Bank Of America Corp,Colony Capital Inc,3.5
Coca-Cola Company,3,Bank Of America Corp,The Toronto-Dominion Bank,3.2
Alphabet Inc,3,Ebay Inc,Wells Fargo And Company,1.4
Microsoft Corp,3,Bank Of America Corp,Jetblue Airways Corp,1.2
Microsoft Corp,3,Delta Air Lines Inc,Amazon Com Inc,1.1
Goldman Sachs Group Inc,3,Wells Fargo And Company,Sempra Energy,3.3
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Eaton Vance Corp,100
Morgan Stanley International Holdings Inc,2,Thomson Reuters Corp,Citigroup Inc,0.7
Coca-Cola Company,2,Kellogg Company,Bank Of America Corp,39.4
Microsoft Corp,2,Cisco Systems Inc,Sony Corp,1.2
Goldman Sachs Group Inc,2,Intercontinental Exchange,Allstate Corp,1.9
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Allstate Corp,5.2
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,The Toronto-Dominion Bank,1.5
Coca-Cola Company,2,Nrg Energy,Citigroup Inc,88.5
Coca-Cola Company,2,Nrg Energy,Deutsche Bank,10
Microsoft Corp,2,Us Bancorp,Thomson Reuters Corp,2.2
Coca-Cola Company,3,Bank Of America Corp,Fisher Scientific International Inc,5.9
Coca-Cola Company,3,Bank Of America Corp,Anheuser-Busch Inbev Sa,1.8
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Citigroup Inc,100
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Ubs Group Ag,0.7
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Deutsche Bank,1.3
Jp Morgan Chase And Co,3,Intercontinental Exchange,Paypal Holdings,0.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Equifax Inc,1.7
Pepsico Inc,3,Deutsche Bank,Ford Motor Company,2.7
Alphabet Inc,3,Ebay Inc,Nasdaq Inc,1
Alphabet Inc,3,Facebook Inc,Boeing Company,1.5
Alphabet Inc,3,Atandt Inc,Warner Media Llc,4
Goldman Sachs Group Inc,3,Bank Of America Corp,First Republic Bank,3.7
Pepsico Inc,3,Jp Morgan Chase And Co,Broadcom Ltd,32.4
Pepsico Inc,3,Jp Morgan Chase And Co,First Republic Bank,19.8
Pepsico Inc,3,Federal Home Loan Mortgage Corp,Jp Morgan Chase And Co,15.3
Microsoft Corp,3,Bank Of America Corp,Adt Inc,1.9
Microsoft Corp,3,Sandp Global Inc,Goldman Sachs Group Inc,39.9
Microsoft Corp,3,Deutsche Bank,Jp Morgan Chase And Co,10.4
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Oasis Petroleum Inc,0.7
Microsoft Corp,3,Deutsche Bank,Netflix Inc,3.3
Coca-Cola Company,1,Coca-Cola Company,Equifax Inc,1
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Federal National Mortgage Association,2.9
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Thomson Reuters Corp,1.7
Coca-Cola Company,1,Coca-Cola Company,Owens Corning Inc,0.5
Pepsico Inc,2,Visa Inc,Jp Morgan Chase And Co,24.1
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Royal Bank Of Scotland Group Plc,1
Pepsico Inc,2,Hsbc Holdings Plc,Maiden Holdings Ltd,2.2
Alphabet Inc,2,Oracle Corp,Bank Of America Corp,6.1
Microsoft Corp,2,International Business Machines Corp,Honeywell International Inc,0.5
Coca-Cola Company,2,Intercontinental Exchange,Blackbaud Inc,0.7
Coca-Cola Company,2,Intercontinental Exchange,Ubs Group Ag,18.7
Alphabet Inc,3,Apple Inc,Home Depot Inc,0.7
Morgan Stanley International Holdings Inc,3,Wells Fargo And Company,Bbandt Corp,1.7
Alphabet Inc,3,Jp Morgan Chase And Co,T-Mobile Us,0.8
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Realogy Holdings Corp,8.1
Alphabet Inc,3,Jp Morgan Chase And Co,Infosys Ltd,1.1
Coca-Cola Company,3,Bank Of America Corp,Wayfair Inc,2
Microsoft Corp,3,Bank Of America Corp,Mastercard Inc,2.4
Microsoft Corp,3,Sandp Global Inc,Ihs Markit Ltd,3
Morgan Stanley International Holdings Inc,3,Intercontinental Exchange,Ubs Group Ag,0.6
Pepsico Inc,3,Jp Morgan Chase And Co,Total System Services Inc,2.6
Pepsico Inc,3,Deutsche Bank,Ford Motor Company,3.2
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,First Republic Bank,5.2
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Bank Of New York Mellon Corp,1.9
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Moodys Corp /De/,0.8
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Federal National Mortgage Association,1
Microsoft Corp,2,Oracle Corp,Cerner Corp,2.6
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Special Opportunities Fund Inc,0.5
Microsoft Corp,2,Atandt Inc,Wells Fargo And Company,37.3
Microsoft Corp,2,Atandt Inc,Ciena Corp,0.6
Microsoft Corp,2,Atandt Inc,Tbs International Plc,1.4
Microsoft Corp,2,Facebook Inc,Nasdaq Inc,0.7
Pepsico Inc,2,Jp Morgan Chase And Co,Federal National Mortgage Association,5.5
Alphabet Inc,2,Ebay Inc,Paypal Holdings,2.1
Alphabet Inc,2,Apple Inc,Bank Of America Corp,7.3
Alphabet Inc,2,Oracle Corp,Hp Inc,2.7
Coca-Cola Company,2,Intercontinental Exchange,International Business Machines Corp,2.9
Microsoft Corp,2,Us Bancorp,Suntrust Banks Inc,0.8
Morgan Stanley International Holdings Inc,3,Intercontinental Exchange,Ubs Group Ag,0.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Equifax Inc,1.2
Goldman Sachs Group Inc,3,Wells Fargo And Company,Metlife Inc,2
Jp Morgan Chase And Co,3,Intercontinental Exchange,Verizon Communications Inc,0.5
Alphabet Inc,3,Jp Morgan Chase And Co,T-Mobile Us,0.9
Alphabet Inc,3,Alliance Data Systems Corp,Jp Morgan Chase And Co,0.9
Alphabet Inc,3,Sandp Global Inc,Ihs Markit Ltd,0.8
Coca-Cola Company,3,Bank Of America Corp,Countrywide Plc,7.1
Coca-Cola Company,3,Bank Of America Corp,Federal National Mortgage Association,3.1
Coca-Cola Company,3,Bank Of America Corp,Carnival Corp,26.5
Coca-Cola Company,3,Bank Of America Corp,American Water Works Company Inc,1.9
Coca-Cola Company,3,Bank Of America Corp,Novartis Ag,6.4
Coca-Cola Company,3,Bank Of America Corp,Hsbc Holdings Plc,5.1
Coca-Cola Company,3,Bank Of America Corp,Nisource Inc/De,2.2
Goldman Sachs Group Inc,3,Bank Of America Corp,American Airlines Group Inc,3.2
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Aleris International Inc,1.5
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Mastercard Inc,1.6
Coca-Cola Company,3,Bank Of America Corp,General Motors Limited,13.9
Coca-Cola Company,3,Bank Of America Corp,Pgande Corp,3
Microsoft Corp,3,Warner Media Llc,Jp Morgan Chase And Co,3.2
Pepsico Inc,1,Pepsico Inc,Hsbc Holdings Plc,18.4
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Mbia Inc,2.6
Microsoft Corp,1,Microsoft Corp,3m Company,0.6
Microsoft Corp,1,Microsoft Corp,Oracle Corp,10.6
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Aleris International Inc,1.1
Microsoft Corp,2,Cisco Systems Inc,Tivo Corp,0.8
Coca-Cola Company,2,Kellogg Company,Deutsche Bank,1.4
Microsoft Corp,2,Atandt Inc,Thomson Reuters Corp,11.4
Alphabet Inc,2,Ebay Inc,Sandp Global Inc,2.1
Pepsico Inc,2,Jp Morgan Chase And Co,Public Storage,1.5
Coca-Cola Company,2,Philip Morris International Inc,Citigroup Inc,8.6
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Aon Plc,3.4
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Manulife Financial Corp,1
Alphabet Inc,2,Amazon Com Inc,Morgan Stanley International Holdings Inc,2
Goldman Sachs Group Inc,2,General Motors Limited,Allstate Corp,0.6
Coca-Cola Company,2,Intercontinental Exchange,Msci Inc,0.9
Coca-Cola Company,2,Intercontinental Exchange,Thomson Reuters Corp,15.1
Microsoft Corp,3,Wells Fargo And Company,Federal Home Loan Mortgage Corp,5.6
Coca-Cola Company,3,Bank Of America Corp,Maiden Holdings Ltd,9.6
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Oasis Petroleum Inc,0.5
Alphabet Inc,3,Goldman Sachs Group Inc,Agco Corp,1.4
Alphabet Inc,3,Jp Morgan Chase And Co,Amazon Com Inc,7.3
Alphabet Inc,3,Jp Morgan Chase And Co,Amazon Com Inc,6.4
Alphabet Inc,3,Jp Morgan Chase And Co,Broadcom Ltd,1.1
Alphabet Inc,3,Apple Inc,Atandt Inc,6.8
Alphabet Inc,3,Jp Morgan Chase And Co,Boeing Company,0.7
Goldman Sachs Group Inc,3,Bank Of America Corp,Canadian Imperial Bank Of Commerce,1.5
Goldman Sachs Group Inc,3,Bank Of America Corp,Dte Energy Co,1.3
Alphabet Inc,3,Jp Morgan Chase And Co,Vanguard Group,4.9
Microsoft Corp,3,Sandp Global Inc,Goldman Sachs Group Inc,4.6
Coca-Cola Company,3,Bank Of America Corp,First Republic Bank,2.1
Microsoft Corp,3,Wells Fargo And Company,Federal Home Loan Mortgage Corp,2.1
Alphabet Inc,1,Alphabet Inc,Bank Of New York Mellon Corp,1
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,London Stock Exchange Group Plc,0.5
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Federal Home Loan Mortgage Corp,100
Coca-Cola Company,1,Coca-Cola Company,Nrg Energy,6
Microsoft Corp,2,Verizon Communications Inc,Sandp Global Inc,7.8
Goldman Sachs Group Inc,2,Maiden Holdings Ltd,Sandp Global Inc,0.5
Microsoft Corp,2,Cisco Systems Inc,Outfront Media Inc,0.6
Microsoft Corp,2,Cisco Systems Inc,Alphabet Inc,3.7
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Federal National Mortgage Association,100
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Hsbc Holdings Plc,4.5
Pepsico Inc,2,Jp Morgan Chase And Co,Fair Isaac Corp,1.6
Pepsico Inc,2,Jp Morgan Chase And Co,Schwab Charles Corp,0.9
Coca-Cola Company,2,Pepsico Inc,Bnp Paribas,0.6
Alphabet Inc,2,Apple Inc,Nokia Corp,0.7
Pepsico Inc,2,Wells Fargo And Company,Federal National Mortgage Association,2.5
Pepsico Inc,2,Wells Fargo And Company,Waddell And Reed Financial Inc,0.8
Jp Morgan Chase And Co,2,Federal National Mortgage Association,Public Storage,0.7
Coca-Cola Company,2,Intercontinental Exchange,Ntt Docomo Inc,0.9
Coca-Cola Company,2,Intercontinental Exchange,London Stock Exchange Group Plc,11.3
Alphabet Inc,3,Twitter Inc,Apple Inc,0.9
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Nantkwest Inc,1.4
Coca-Cola Company,3,Citigroup Inc,Twitter Inc,6
Pepsico Inc,3,Bank Of America Corp,Pgande Corp,3
Pepsico Inc,3,Bank Of America Corp,Duke Energy Corp,6.9
Jp Morgan Chase And Co,3,Intercontinental Exchange,Federal Home Loan Mortgage Corp,1
Goldman Sachs Group Inc,3,Bank Of America Corp,Equifax Inc,2.2
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Dollar General Corp,1.3
Alphabet Inc,3,Jp Morgan Chase And Co,Alibaba Group Holding Ltd,1.6
Alphabet Inc,3,Jp Morgan Chase And Co,Bnp Paribas,1.1
Goldman Sachs Group Inc,3,Bank Of America Corp,Bank Of New York Mellon Corp,4.2
Goldman Sachs Group Inc,3,Bank Of America Corp,Maiden Holdings Ltd,4.2
Microsoft Corp,3,Bank Of America Corp,Sanofi Sa,2.8
Microsoft Corp,3,Bank Of America Corp,Coastal Financial Corp,2
Jp Morgan Chase And Co,3,Goldman Sachs Group Inc,Facebook Inc,1.6
Morgan Stanley International Holdings Inc,3,Jp Morgan Chase And Co,Coastal Financial Corp,0.6
Microsoft Corp,3,Thomson Reuters Corp,Goldman Sachs Group Inc,1.1
Microsoft Corp,1,Microsoft Corp,Amex Global Holdings Cv,6.1
Microsoft Corp,1,Microsoft Corp,International Business Machines Corp,41.6
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Federal National Mortgage Association,45.7
Coca-Cola Company,1,Coca-Cola Company,Molson Coors Brewing Co,0.5
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Countrywide Plc,1
Morgan Stanley International Holdings Inc,2,Citigroup Inc,Visa Inc,0.6
Microsoft Corp,2,Cisco Systems Inc,Nokia Corp,0.9
Microsoft Corp,2,Cisco Systems Inc,Bank Of America Corp,100
Microsoft Corp,2,Cisco Systems Inc,Sasol Ltd,1.2
Microsoft Corp,2,Cisco Systems Inc,Emc Corp,0.5
Morgan Stanley International Holdings Inc,2,Mastercard Inc,Citigroup Inc,4.4
Alphabet Inc,2,Ebay Inc,Apple Inc,2.4
Alphabet Inc,2,Oracle Corp,Ubs Group Ag,0.6
Alphabet Inc,2,Oracle Corp,Cerner Corp,3.3
Pepsico Inc,2,Wells Fargo And Company,Boeing Company,1.4
Coca-Cola Company,2,Intercontinental Exchange,Barclays Plc,2.3
Morgan Stanley International Holdings Inc,3,Goldman Sachs Group Inc,Visa Inc,1
Goldman Sachs Group Inc,3,Bank Of America Corp,International Flavors And Fragrances Inc,1.7
Coca-Cola Company,3,Citigroup Inc,Linkedin Corp,1.9
Coca-Cola Company,3,Bank Of America Corp,Sirius Xm Holdings Inc,5.4
Coca-Cola Company,3,Bank Of America Corp,Berkshire Hathaway Inc,3.7
Coca-Cola Company,3,Bank Of America Corp,American Electric Power Company,7.3
Coca-Cola Company,3,Federal National Mortgage Association,Citigroup Inc,2.8
Jp Morgan Chase And Co,3,Intercontinental Exchange,Goldman Sachs Group Inc,1
Pepsico Inc,3,Deutsche Bank,Vanguard Group,7.7
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Coastal Financial Corp,2.7
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Mbia Inc,1.6
